,FP_rate,algorithm,num_trees
234,0.75,RF,30
235,0.4117647058823529,RF,30
236,0.375,RF,30
237,0.47058823529411764,RF,30
238,0.6666666666666666,RF,30
239,0.7222222222222222,RF,30
240,0.7692307692307693,RF,30
241,0.47368421052631576,RF,30
242,0.29411764705882354,RF,30
243,0.7647058823529411,RF,30
244,0.25,RF,30
245,0.5294117647058824,RF,30
246,0.47058823529411764,RF,30
247,0.6470588235294118,RF,30
248,0.5,RF,30
249,0.5294117647058824,RF,30
250,0.6666666666666666,RF,50
251,0.4,RF,50
252,0.7058823529411765,RF,50
253,0.5882352941176471,RF,50
254,0.5,RF,50
255,0.5625,RF,50
256,0.6875,RF,50
257,0.3333333333333333,RF,50
258,0.7222222222222222,RF,50
259,0.23076923076923078,RF,50
260,0.625,RF,50
261,0.14285714285714285,RF,50
262,0.42857142857142855,RF,50
263,0.6666666666666666,RF,50
264,0.5882352941176471,RF,50
265,0.3076923076923077,RF,50
266,0.5714285714285714,RF,50
267,0.16666666666666666,RF,50
268,0.5333333333333333,RF,50
269,0.38461538461538464,RF,50
270,0.6666666666666666,RF,50
271,0.4666666666666667,RF,50
272,0.5789473684210527,RF,50
273,0.5,RF,50
274,0.5,RF,50
275,0.09090909090909091,RF,50
276,0.5714285714285714,RF,50
277,0.46153846153846156,RF,50
278,0.09090909090909091,RF,50
279,0.35714285714285715,RF,50
280,0.5,RF,50
281,0.5555555555555556,RF,50
282,0.35714285714285715,RF,50
283,0.3888888888888889,RF,50
284,0.42857142857142855,RF,50
285,0.26666666666666666,RF,50
286,0.38461538461538464,RF,50
287,0.46153846153846156,RF,50
288,0.7647058823529411,RF,50
289,0.5,RF,50
290,0.4166666666666667,RF,50
291,0.16666666666666666,RF,50
292,0.5714285714285714,RF,50
293,0.8421052631578947,RF,50
294,0.3333333333333333,RF,50
295,0.18181818181818182,RF,50
296,0.5333333333333333,RF,50
297,0.35714285714285715,RF,50
298,0.5882352941176471,RF,50
299,0.6111111111111112,RF,50
